Species,Node,Reach,Seasonal.Component,Lower_Limit,Upper_Limit,Probability_Threshold,waterbody
Willow,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,26,91,Medium,Los Angeles River Reach 3
Willow,F57C,LAR 5 - Glendale Narrows,Wet Season Baseflow,26,1532,Medium,Los Angeles River Reach 3
Typha,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,26,55,Medium,Los Angeles River Reach 3
Typha,F57C,LAR 5 - Glendale Narrows,Wet Season Baseflow,26,586,Medium,Los Angeles River Reach 3
Willow,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,26,42,High,Los Angeles River Reach 3
Willow,F57C,LAR 5 - Glendale Narrows,Wet Season Baseflow,26,1532,High,Los Angeles River Reach 3
Typha,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,104,1000,High,Los Angeles River Reach 3
Typha,F57C,LAR 5 - Glendale Narrows,Wet Season Baseflow,104,1000,High,Los Angeles River Reach 3
Kayak,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,26,117,Medium,Los Angeles River Reach 3
Fishing,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,33,284,Medium,Los Angeles River Reach 3
Kayak,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,26,117,High,Los Angeles River Reach 3
Fishing,F57C,LAR 5 - Glendale Narrows,Dry Season Baseflow,33,284,High,Los Angeles River Reach 3
Willow,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,23,355,Medium,Los Angeles River Reach 3
Willow,GLEN,LAR 5 - Glendale Narrows,Wet Season Baseflow,23,355,Medium,Los Angeles River Reach 3
Typha,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,77,166,Medium,Los Angeles River Reach 3
Typha,GLEN,LAR 5 - Glendale Narrows,Wet Season Baseflow,77,568,Medium,Los Angeles River Reach 3
Willow,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,23,256,High,Los Angeles River Reach 3
Willow,GLEN,LAR 5 - Glendale Narrows,Wet Season Baseflow,23,355,High,Los Angeles River Reach 3
Typha,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,270,1238,High,Los Angeles River Reach 3
Typha,GLEN,LAR 5 - Glendale Narrows,Wet Season Baseflow,270,1238,High,Los Angeles River Reach 3
Kayak,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,64,253,Medium,Los Angeles River Reach 3
Fishing,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,96,447,Medium,Los Angeles River Reach 3
Kayak,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,64,253,High,Los Angeles River Reach 3
Fishing,GLEN,LAR 5 - Glendale Narrows,Dry Season Baseflow,96,447,High,Los Angeles River Reach 3
Willow,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,25,376,Medium,Los Angeles River Reach 3
Willow,LA11,LAR 5 - Glendale Narrows,Wet Season Baseflow,25,376,Medium,Los Angeles River Reach 3
Typha,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,24,48,Medium,Los Angeles River Reach 3
