"","ReportingNode","Species","LifeStage","Season","LimitingFactor","notes","species.lifestage","species.lifestage.hyd"
"1","LA14","Typha","adult","Dry","Depth","","Typha Adult","Typha Adult Depth"
"2","GLEN","Typha","adult","Dry","Velocity","","Typha Adult","Typha Adult Velocity"
"3","LA11","Typha","adult","Dry","Depth","","Typha Adult","Typha Adult Depth"
"4","F57C","Typha","adult","Dry","Depth","","Typha Adult","Typha Adult Depth"
"5","LA13","Cladophora","adult","Dry","Depth","","Cladophora Adult","Cladophora Adult Depth"
"6","GLEN","Cladophora","adult","Dry","Depth","","Cladophora Adult","Cladophora Adult Depth"
"7","LA11","Cladophora","adult","Dry","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"8","F57C","Cladophora","adult","Dry","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"9","LA8","Cladophora","adult","Dry","Depth","","Cladophora Adult","Cladophora Adult Depth"
"10","LA3","Cladophora","adult","Dry","Depth","","Cladophora Adult","Cladophora Adult Depth"
"11","F319","Cladophora","adult","Dry","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"12","LA20_2","SAS","Adult","Wet","Velocity","below Tilman","Sas Adult","Sas Adult Velocity"
"13","LA14","SAS","adult","Dry","Depth","","Sas Adult","Sas Adult Depth"
"14","GLEN","SAS","adult","Dry","Depth","","Sas Adult","Sas Adult Depth"
"15","LA11","SAS","adult","Dry","Depth","","Sas Adult","Sas Adult Depth"
"16","F57C","SAS","adult","Wet","Depth","","Sas Adult","Sas Adult Depth"
"17","F300","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"18","LA14","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"19","GLEN","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"20","LA11","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"21","F57C","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"22","LA8","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"23","F34D","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"24","LA3","Steelhead","prolonged","Dry","Depth","very small decline","Steelhead Prolonged","Steelhead Prolonged Depth"
"25","GLEN","SAS","growth","Dry","Depth","","Sas Juvenile","Sas Juvenile Depth"
"26","GLEN","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"27","GLEN","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"28","GLEN","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
